t (s)	x (m)
0	1
0,02	1,01000004
0,04	1,02000032
0,06	1,03000108
0,08	1,04000256
0,1	1,050005
0,12	1,06000864
0,14	1,07001372
0,16	1,08002048
0,18	1,09002916
0,2	1,10004
0,22	1,11005324
0,24	1,12006912
0,26	1,13008788
0,28	1,14010976
0,3	1,150135
0,32	1,16016384
0,34	1,17019652
0,36	1,18023328
0,38	1,19027436
0,4	1,20032
0,42	1,21037044
0,44	1,22042592
0,46	1,23048668
0,48	1,24055296
0,5	1,250625
0,52	1,26070304
0,54	1,27078732
0,56	1,28087808
0,58	1,29097556
0,6	1,30108
0,62	1,31119164
0,64	1,32131072
0,66	1,33143748
0,68	1,34157216
0,7	1,351715
0,72	1,36186624
0,74	1,37202612
0,76	1,38219488
0,78	1,39237276
0,8	1,40256
0,82	1,41275684
0,84	1,42296352
0,86	1,43318028
0,88	1,44340736
0,9	1,453645
0,92	1,46389344
0,94	1,47415292
0,96	1,48442368
0,98	1,49470596
1	1,505
1,02	1,51530604
1,04	1,52562432
1,06	1,53595508
1,08	1,54629856
1,1	1,556655
1,12	1,56702464
1,14	1,57740772
1,16	1,58780448
1,18	1,59821516
1,2	1,60864
1,22	1,61907924
1,24	1,62953312
1,26	1,64000188
1,28	1,65048576
1,3	1,660985
1,32	1,67149984
1,34	1,68203052
1,36	1,69257728
1,38	1,70314036
1,4	1,71372
1,42	1,72431644
1,44	1,73492992
1,46	1,74556068
1,48	1,75620896
1,5	1,766875
1,52	1,77755904
1,54	1,78826132
1,56	1,79898208
1,58	1,80972156
1,6	1,82048
1,62	1,83125764
1,64	1,84205472
1,66	1,85287148
1,68	1,86370816
1,7	1,874565
1,72	1,88544224
1,74	1,89634012
1,76	1,90725888
1,78	1,91819876
1,8	1,92916
1,82	1,94014284
1,84	1,95114752
1,86	1,96217428
1,88	1,97322336
1,9	1,984295
1,92	1,99538944
1,94	2,00650692
1,96	2,01764768
1,98	2,02881196
2	2,04
2,02	2,05121204
2,04	2,06244832
2,06	2,07370908
2,08	2,08499456
2,1	2,096305
2,12	2,10764064
2,14	2,11900172
