t (s)	y (m)
0	0,5
0,02	0,517992
0,04	0,535968
0,06	0,553928
0,08	0,571872
0,1	0,5898
0,12	0,607712
0,14	0,625608
0,16	0,643488
0,18	0,661352
0,2	0,6792
0,22	0,697032
0,24	0,714848
0,26	0,732648
0,28	0,750432
0,3	0,7682
0,32	0,785952
0,34	0,803688
0,36	0,821408
0,38	0,839112
0,4	0,8568
0,42	0,874472
0,44	0,892128
0,46	0,909768
0,48	0,927392
0,5	0,945
0,52	0,962592
0,54	0,980168
0,56	0,997728
0,58	1,015272
0,6	1,0328
0,62	1,050312
0,64	1,067808
0,66	1,085288
0,68	1,102752
0,7	1,1202
0,72	1,137632
0,74	1,155048
0,76	1,172448
0,78	1,189832
0,8	1,2072
0,82	1,224552
0,84	1,241888
0,86	1,259208
0,88	1,276512
0,9	1,2938
0,92	1,311072
0,94	1,328328
0,96	1,345568
0,98	1,362792
1	1,38
1,02	1,397192
1,04	1,414368
1,06	1,431528
1,08	1,448672
1,1	1,4658
1,12	1,482912
1,14	1,500008
1,16	1,517088
1,18	1,534152
1,2	1,5512
1,22	1,568232
1,24	1,585248
1,26	1,602248
1,28	1,619232
1,3	1,6362
1,32	1,653152
1,34	1,670088
1,36	1,687008
1,38	1,703912
1,4	1,7208
1,42	1,737672
1,44	1,754528
1,46	1,771368
1,48	1,788192
1,5	1,805
1,52	1,821792
1,54	1,838568
1,56	1,855328
1,58	1,872072
1,6	1,8888
1,62	1,905512
1,64	1,922208
1,66	1,938888
1,68	1,955552
1,7	1,9722
1,72	1,988832
1,74	2,005448
1,76	2,022048
1,78	2,038632
1,8	2,0552
1,82	2,071752
1,84	2,088288
1,86	2,104808
1,88	2,121312
1,9	2,1378
1,92	2,154272
1,94	2,170728
1,96	2,187168
1,98	2,203592
2	2,22
2,02	2,236392
2,04	2,252768
2,06	2,269128
2,08	2,285472
2,1	2,3018
2,12	2,318112
2,14	2,334408
2,16	2,350688
2,18	2,366952
2,2	2,3832
2,22	2,399432
2,24	2,415648
2,26	2,431848
2,28	2,448032
2,3	2,4642
2,32	2,480352
2,34	2,496488
2,36	2,512608
2,38	2,528712
2,4	2,5448
2,42	2,560872
2,44	2,576928
2,46	2,592968
2,48	2,608992
2,5	2,625
2,52	2,640992
2,54	2,656968
2,56	2,672928
2,58	2,688872
2,6	2,7048
2,62	2,720712
2,64	2,736608
2,66	2,752488
2,68	2,768352
2,7	2,7842
2,72	2,800032
2,74	2,815848
2,76	2,831648
2,78	2,847432
2,8	2,8632
2,82	2,878952
2,84	2,894688
2,86	2,910408
2,88	2,926112
2,9	2,9418
2,92	2,957472
2,94	2,973128
2,96	2,988768
2,98	3,004392
3	3,02
3,02	3,035592
3,04	3,051168
3,06	3,066728
3,08	3,082272
3,1	3,0978
3,12	3,113312
3,14	3,128808
3,16	3,144288
3,18	3,159752
3,2	3,1752
3,22	3,190632
3,24	3,206048
3,26	3,221448
3,28	3,236832
3,3	3,2522
3,32	3,267552
3,34	3,282888
3,36	3,298208
3,38	3,313512
3,4	3,3288
3,42	3,344072
3,44	3,359328
3,46	3,374568
3,48	3,389792
3,5	3,405
3,52	3,420192
3,54	3,435368
3,56	3,450528
3,58	3,465672
3,6	3,4808
3,62	3,495912
3,64	3,511008
3,66	3,526088
3,68	3,541152
3,7	3,5562
3,72	3,571232
3,74	3,586248
3,76	3,601248
3,78	3,616232
3,8	3,6312
3,82	3,646152
3,84	3,661088
3,86	3,676008
3,88	3,690912
3,9	3,7058
3,92	3,720672
3,94	3,735528
3,96	3,750368
3,98	3,765192
4	3,78
4,02	3,794792
4,04	3,809568
4,06	3,824328
4,08	3,839072
4,1	3,8538
4,12	3,868512
4,14	3,883208
4,16	3,897888
4,18	3,912552
4,2	3,9272
4,22	3,941832
4,24	3,956448
4,26	3,971048
4,28	3,985632
4,3	4,0002
4,32	4,014752
4,34	4,029288
4,36	4,043808
4,38	4,058312
4,4	4,0728
4,42	4,087272
4,44	4,101728
4,46	4,116168
4,48	4,130592
4,5	4,145
4,52	4,159392
4,54	4,173768
4,56	4,188128
4,58	4,202472
4,6	4,2168
4,62	4,231112
4,64	4,245408
4,66	4,259688
4,68	4,273952
4,7	4,2882
4,72	4,302432
4,74	4,316648
4,76	4,330848
4,78	4,345032
4,8	4,3592
4,82	4,373352
4,84	4,387488
4,86	4,401608
4,88	4,415712
4,9	4,4298
4,92	4,443872
4,94	4,457928
4,96	4,471968
4,98	4,485992
5	4,5
5,02	4,513992
5,04	4,527968
5,06	4,541928
5,08	4,555872
5,1	4,5698
5,12	4,583712
5,14	4,597608
5,16	4,611488
5,18	4,625352
5,2	4,6392
5,22	4,653032
5,24	4,666848
5,26	4,680648
5,28	4,694432
5,3	4,7082
5,32	4,721952
5,34	4,735688
5,36	4,749408
5,38	4,763112
5,4	4,7768
5,42	4,790472
5,44	4,804128
5,46	4,817768
5,48	4,831392
5,5	4,845
5,52	4,858592
5,54	4,872168
5,56	4,885728
5,58	4,899272
5,6	4,9128
5,62	4,926312
5,64	4,939808
5,66	4,953288
5,68	4,966752
5,7	4,9802
5,72	4,993632
5,74	5,007048
5,76	5,020448
5,78	5,033832
5,8	5,0472
5,82	5,060552
5,84	5,073888
5,86	5,087208
5,88	5,100512
5,9	5,1138
5,92	5,127072
5,94	5,140328
5,96	5,153568
5,98	5,166792
6	5,18
6,02	5,193192
6,04	5,206368
6,06	5,219528
6,08	5,232672
6,1	5,2458
6,12	5,258912
6,14	5,272008
6,16	5,285088
6,18	5,298152
6,2	5,3112
6,22	5,324232
6,24	5,337248
6,26	5,350248
6,28	5,363232
6,3	5,3762
6,32	5,389152
6,34	5,402088
6,36	5,415008
6,38	5,427912
6,4	5,4408
6,42	5,453672
6,44	5,466528
6,46	5,479368
6,48	5,492192
6,5	5,505
6,52	5,517792
6,54	5,530568
6,56	5,543328
6,58	5,556072
6,6	5,5688
6,62	5,581512
6,64	5,594208
6,66	5,606888
6,68	5,619552
6,7	5,6322
6,72	5,644832
6,74	5,657448
6,76	5,670048
6,78	5,682632
6,8	5,6952
6,82	5,707752
6,84	5,720288
6,86	5,732808
6,88	5,745312
6,9	5,7578
6,92	5,770272
6,94	5,782728
6,96	5,795168
6,98	5,807592
7	5,82
7,02	5,832392
7,04	5,844768
7,06	5,857128
7,08	5,869472
7,1	5,8818
7,12	5,894112
7,14	5,906408
7,16	5,918688
7,18	5,930952
7,2	5,9432
7,22	5,955432
7,24	5,967648
7,26	5,979848
7,28	5,992032
7,3	6,0042
7,32	6,016352
7,34	6,028488
7,36	6,040608
7,38	6,052712
7,4	6,0648
7,42	6,076872
7,44	6,088928
7,46	6,100968
7,48	6,112992
7,5	6,125
7,52	6,136992
7,54	6,148968
7,56	6,160928
7,58	6,172872
7,6	6,1848
7,62	6,196712
7,64	6,208608
7,66	6,220488
7,68	6,232352
7,7	6,2442
7,72	6,256032
7,74	6,267848
7,76	6,279648
7,78	6,291432
7,8	6,3032
7,82	6,314952
7,84	6,326688
7,86	6,338408
7,88	6,350112
7,9	6,3618
7,92	6,373472
7,94	6,385128
7,96	6,396768
7,98	6,408392
8	6,42
8,02	6,431592
8,04	6,443168
8,06	6,454728
8,08	6,466272
8,1	6,4778
8,12	6,489312
8,14	6,500808
8,16	6,512288
8,18	6,523752
8,2	6,5352
8,22	6,546632
